customer_id,full_name,total_spent,transaction_count,days_since_registration,avg_order_value
CUST0039,Dustin Clarke,188037.96,11,503,4948.37
CUST0040,Jeffrey Harper,151505.09,12,577,4887.26
CUST0041,Chloe Mcbride,154672.04,13,617,3772.49
CUST0042,Alex Ferguson,79947.88,7,60,4207.78
CUST0043,Raymond Bentley,42397.47,4,408,3028.39
CUST0044,Albert Schmidt,88190.61,7,286,4641.61
CUST0045,Jose Jackson,99343.38,8,106,4319.28
CUST0046,Benjamin Wood,99478.45,11,629,3979.14
CUST0047,Sean Parker,111439.42,12,689,3594.82
CUST0048,Janice Harris,134172.63,9,623,4791.88
CUST0049,Alexandra Logan,151581.4,11,504,4889.72
CUST0050,Karl Wilson,197992.2,11,309,4499.82
CUST0051,Carolyn Greene,79018.0,7,603,3762.76
CUST0052,Kelsey Stone,185699.49,14,295,4220.44
CUST0053,Benjamin King,90513.85,8,480,5028.55
CUST0054,Sean Jimenez,92792.96,8,304,4418.71
CUST0055,Susan Miller,164147.16,11,190,4689.92
CUST0056,Natasha Haney,110426.62,8,105,3680.89
CUST0057,Jennifer Daniels,207414.67,15,218,3988.74
CUST0058,Jill Obrien,65134.04,7,713,3618.56
CUST0059,Kevin Rhodes,163139.13,12,275,4531.64
CUST0060,Dustin Clark,108717.42,12,512,3507.01
CUST0061,Andrew Williams,168059.62,13,566,4668.32
CUST0062,Heather Mccormick,162209.66,13,283,4384.04
CUST0063,James Jimenez,212720.24,13,287,4946.98
CUST0064,Jeffrey Horton,93460.34,10,322,3222.77
CUST0065,Kim Abbott,104064.87,7,498,4730.22
CUST0066,Tracy Doyle,136718.33,11,321,4557.28
CUST0067,Christopher Hebert,116389.37,10,460,3637.17
CUST0068,Stephanie Kim,316968.11,20,701,5282.8
CUST0069,Jessica Banks,160926.01,11,189,5028.94
CUST0070,Kelsey Delacruz,122433.97,11,213,4372.64
CUST0071,Juan Hayes,194015.39,15,646,4127.99
CUST0072,Nicole Grant,137716.92,7,658,4748.86
CUST0073,Richard Pitts,36771.46,6,557,2626.53
CUST0074,Molly Brooks,191216.46,12,14,5463.33
CUST0075,Mason Mendoza,108108.27,6,581,4700.36
CUST0076,Gina Taylor,114338.66,7,147,4971.25
CUST0077,Donald Smith,116078.43,8,721,5046.89
CUST0078,James Caldwell,145796.06,11,496,4049.89
CUST0079,Elizabeth Stanley,211587.44,13,240,5160.67
CUST0080,James Murray,87359.31,5,366,5823.95
CUST0081,Jason Allen,104421.41,10,657,4016.21
CUST0082,Emily Medina,123842.02,9,316,3870.06
CUST0083,Brenda Thomas,179418.32,12,277,4077.69
CUST0084,Michael Stevenson,179277.95,13,713,3734.96
CUST0085,Aaron Dickerson,153982.81,11,127,4399.51
CUST0086,Jacob Hall,82665.8,4,727,5166.61
CUST0087,Maria Mccarthy,169253.8,11,438,4701.49
CUST0088,Sean Martin,148469.73,11,726,4366.76
CUST0089,Joshua Graham,97924.9,5,399,5760.29
CUST0090,Deborah Elliott,89405.89,4,578,5587.87
CUST0091,Lisa Murphy,80967.15,6,378,4762.77
CUST0092,Scott Tate,167320.04,12,465,4522.16
CUST0093,Kent Diaz,99141.63,8,222,4310.51
CUST0094,Kayla Cole,181434.96,15,248,4219.42
CUST0095,Nicholas Campos,133682.64,9,545,4951.21
CUST0096,Margaret Long,182654.29,14,89,4454.98
CUST0097,Chelsea Vasquez,93165.76,8,377,4903.46
CUST0098,Jamie Smith,110928.32,7,709,4108.46
CUST0099,Beth Owen,125346.83,12,349,3686.67
CUST0100,Vicki Rodriguez,144468.08,13,447,4514.63
CUST0101,Andrew Villarreal,135823.53,10,5,5030.5
CUST0102,Elizabeth Green,235938.1,16,636,4369.22
CUST0103,Jennifer Brown,116557.92,10,546,4316.96
CUST0104,Marie Ortiz,143949.62,9,454,4798.32
CUST0105,Karen Bailey,112911.3,8,129,4704.64
CUST0106,Nicole Barker,223356.24,17,594,4558.29
CUST0107,Thomas Parker,121635.13,9,48,4054.5
CUST0108,James Hunt,133138.42,9,205,5547.43
CUST0109,Christopher Hahn,153831.51,9,91,5304.53
CUST0110,Mary Simpson,103826.48,11,586,4153.06
CUST0111,Brett Jackson,74090.97,8,71,3704.55
CUST0112,Jessica Elliott,25128.14,3,362,3141.02
CUST0113,Stephanie Hernandez,46506.95,6,350,3875.58
CUST0114,Lindsay Harris,99485.45,8,513,4145.23
CUST0115,Joseph Taylor,144614.44,13,123,4253.37
CUST0116,Erica Mejia,158375.55,11,261,4949.24
CUST0117,Cory Norris,18246.94,4,655,2606.71
CUST0118,Carly Tyler,152637.59,11,353,4239.93
CUST0119,Justin Davis,143351.72,10,226,4778.39
CUST0120,Sandra Cross,177882.62,13,667,4235.3
CUST0121,Stephanie Wilson,67083.24,6,435,4192.7
CUST0122,Stacey Mckinney,159372.38,10,118,5902.68
CUST0123,Carolyn Morales,139380.16,9,313,5162.23
CUST0124,Nicholas Johnson,173465.1,12,700,4336.63
CUST0125,Samantha Montoya,99503.18,6,351,4975.16
CUST0126,Sydney Munoz,95578.47,8,650,3982.44
CUST0127,Michael Wright,61263.09,6,149,3603.71
CUST0128,Robert Lane,181272.55,10,554,4899.26
CUST0129,John Wells,70530.17,5,622,4408.14
CUST0130,Michelle Cole,126182.73,10,160,4853.18
CUST0131,April Freeman,98393.38,8,264,4099.72
CUST0132,Samantha Barton,73410.15,5,528,6117.51
CUST0133,Jennifer Thompson,236243.58,13,292,4724.87
CUST0134,Brian Hernandez,114363.63,9,705,4398.6
CUST0135,Karen Rodriguez,94846.73,6,678,4516.51
CUST0136,James Clark,264949.32,16,37,4999.04
CUST0137,Nicole Mcdonald,101005.22,6,327,4809.77
CUST0138,Julie Graves,125655.19,10,282,4487.69
CUST0139,Todd Cruz,120383.15,12,21,4458.64
CUST0140,Matthew Garcia,68401.53,7,187,4275.1
CUST0141,Jennifer Daniels,54513.51,5,213,3893.82
CUST0142,Maria Park,148338.21,15,293,4238.23
CUST0143,Sonia Adams,187902.98,14,248,5078.46
CUST0144,Claire Foster,125707.38,12,125,3928.36
CUST0145,Danielle Hunt,157841.66,11,336,4932.55
CUST0146,Adriana Clark,191909.97,12,353,5186.76
CUST0147,Julia Ray,157167.0,10,469,4490.49
CUST0148,Amber Harrison,143002.0,9,714,4931.1
CUST0149,Marissa Rodriguez,89901.39,10,651,3596.06
CUST0150,Evan Shaw,204249.29,12,567,4863.08
CUST0151,Jennifer Walsh,191699.55,16,707,4259.99
CUST0152,Laura Adams,119121.61,8,438,4411.91
CUST0153,Laura Rodriguez,122889.72,9,601,5120.41
CUST0154,William Payne,197598.97,13,472,5066.64
CUST0155,Kenneth Mueller,113608.4,8,159,4207.72
CUST0156,Donna Garcia,178813.99,11,34,5418.61
CUST0157,Monica Wagner,227501.65,17,675,4550.03
CUST0158,Daniel Johnson,229852.69,17,122,4420.24
CUST0159,Sabrina Barnes,219501.76,17,652,4572.95
CUST0160,Brooke Hart,179341.93,11,449,5274.76
CUST0161,Yesenia Burton,52948.98,4,531,3529.93
CUST0162,Kevin Ortega,202990.7,13,348,4059.81
CUST0163,Donald Ramirez,119489.38,10,262,4425.53
CUST0164,Rachel Nelson,67110.57,6,571,5162.35
CUST0165,Joshua Stephens,66833.41,7,260,4177.09
CUST0166,John Bryan,111645.98,7,132,4651.92
CUST0167,Brian Brown,126953.62,12,255,3847.08
CUST0168,Todd Jones,70916.98,5,584,4727.8
CUST0169,Elizabeth Williams,175621.79,11,701,5165.35
CUST0170,Joseph Maldonado,143491.54,15,53,4099.76
CUST0171,Deanna Pratt,114228.91,9,35,3807.63
CUST0172,David Carter,108399.44,9,215,3387.48
CUST0173,Natalie Martin,206015.42,16,659,4478.6
CUST0174,Allison Patel,156132.07,10,323,4219.79
CUST0175,Karen Howard,84773.65,5,85,4709.65
CUST0176,Angelica Willis,196651.62,16,603,4573.29
CUST0177,Stephen Gregory,162287.85,10,671,5235.09
CUST0178,Rebecca Holden,108762.57,9,635,3625.42
CUST0179,Nicole Rowland,102790.41,10,180,4469.15
CUST0180,Angela Bautista,91514.76,7,553,4575.74
CUST0181,Jason Allen,133527.43,10,38,4450.91
CUST0182,Jose Smith,108355.72,10,194,3495.35
CUST0183,Tamara Weber,89739.28,7,144,4985.52
CUST0184,Lisa Price,148348.12,8,621,5298.15
CUST0185,Matthew Mcfarland,137535.58,11,237,4742.61
CUST0186,Michelle Shaw,190108.22,13,493,4636.79
CUST0187,Joshua Wells,156582.32,14,504,4473.78
CUST0188,Lisa Velasquez,133545.96,11,323,4173.31
CUST0189,Manuel Johnston,103502.32,9,355,4928.68
CUST0190,Joshua Lyons,82107.66,9,697,3569.9
CUST0191,Victor Gibson,155349.78,11,474,4854.68
CUST0192,Nancy Hernandez,157333.43,11,211,5619.05
CUST0193,Christian Horton,260288.76,15,223,5784.19
CUST0194,Latasha Murphy,121877.53,6,475,5078.23
CUST0195,Ryan Peterson,163229.18,12,203,4946.34
CUST0196,Jessica Davis,132367.82,14,24,4902.51
CUST0197,Colton Mcintosh,107237.61,10,251,3697.85
CUST0198,Kathleen Williams,157272.56,11,228,4625.66
CUST0199,Kevin Mcclure,182576.48,13,22,4564.41
CUST0200,Jessica Baker,78139.84,8,405,4596.46
CUST0201,Jonathan Watson,108251.6,8,347,4706.59
CUST0202,Daniel Gates,150409.56,12,17,4557.87
CUST0203,John Hill,91925.59,7,82,4838.19
CUST0204,Ashley Gutierrez,162044.6,15,171,4051.12
CUST0205,Jonathan Bell,111410.33,11,731,4642.1
CUST0206,Juan Jacobs,166602.83,11,395,5206.34
CUST0207,Stacy Reeves,199627.18,14,292,3992.54
CUST0208,Judy Oconnor,118315.43,12,630,3479.87
CUST0209,Peter Hale,169003.32,10,156,4225.08
CUST0210,Anthony Hansen,60022.11,5,371,4287.29
CUST0211,Chelsey Day,149684.02,10,241,4989.47
CUST0212,William Moran,180147.31,11,315,4868.85
CUST0213,Julie Lawrence,103065.23,6,235,4684.78
CUST0214,Lori Rice,82141.17,8,139,4563.4
CUST0215,Veronica Mcmillan,204813.47,13,350,4876.51
CUST0216,Stephanie Ruiz,98999.38,8,436,3959.98
CUST0217,Pamela Gonzalez,95742.71,6,173,5039.09
CUST0218,Joseph Mercado,126739.03,10,360,3621.12
CUST0219,Anthony Lawrence,198160.55,16,497,4216.18
CUST0220,Nathaniel Moran,207283.82,16,83,4506.17
CUST0221,Patricia Ellis,213233.28,16,217,4958.91
CUST0222,Christine Ruiz,157956.62,14,489,4936.14
CUST0223,Crystal Wells,127371.66,7,661,4548.99
CUST0224,Donald Parsons,205825.4,11,80,5277.57
CUST0225,Alexandra Martinez,139532.36,9,638,4983.3
CUST0226,Joshua Wall,132983.47,10,434,4749.41
CUST0227,Maria Scott,178606.29,10,102,5253.13
CUST0228,Christina Rice,202274.5,14,101,4597.15
CUST0229,Brett Bell,138212.31,11,377,4458.46
CUST0230,Gary Cole,156926.71,12,428,4359.08
CUST0231,Rebecca Williams,58138.79,6,88,6459.87
CUST0232,Molly Oliver,95437.5,9,380,4771.88
CUST0233,Thomas Orozco,104842.92,8,59,4368.46
CUST0234,Scott Parsons,89015.1,7,94,5236.18
CUST0235,Amanda Odom,143195.05,10,175,4773.17
CUST0236,Vincent Phillips,140537.08,9,546,4015.35
CUST0237,Michelle Summers,111336.74,9,248,4639.03
CUST0238,Kaitlyn Horn,186565.31,10,453,5653.49
CUST0239,Janet Mcdonald,193260.01,12,248,5085.79
CUST0240,Kristen Gonzalez,9232.67,1,631,4616.34
CUST0241,Katie Shaw,75206.57,5,410,5013.77
CUST0242,Robert Ramirez,171782.69,14,413,4520.6
CUST0243,Aaron Wallace,97782.31,9,672,4656.3
CUST0244,Brittany Ramirez,111957.09,7,498,4664.88
CUST0245,Karen Newton,235934.68,12,709,5019.89
CUST0246,Joseph Summers,112993.49,9,403,5136.07
CUST0247,Brandon Wallace,206679.17,16,238,4133.58
CUST0248,Christine Rogers,52056.62,4,152,5784.07
CUST0249,David Smith,280550.44,16,625,4755.09
CUST0250,Stephen Scott,101025.55,10,524,3885.6
CUST0251,Cheyenne Reese,83239.4,6,175,4896.44
CUST0252,Jonathan Kent,124671.41,10,30,3666.81
CUST0253,Jacqueline Davis,129921.57,8,86,5196.86
CUST0254,Logan Hill,97261.15,8,684,4863.06
CUST0255,Matthew Moore,108236.65,8,661,4329.47
CUST0256,Patrick Harris,82152.17,6,465,5134.51
CUST0257,Debbie Scott,105771.09,9,134,4407.13
CUST0258,Christopher Huang,142240.43,11,281,4310.32
CUST0259,Joshua Moore,119293.44,10,679,4970.56
CUST0260,Marcus Parker,238783.4,15,684,4974.65
CUST0261,Joseph Schmidt,134853.6,7,555,5618.9
CUST0262,Alyssa Wilson,111341.53,7,217,4639.23
CUST0263,Sabrina Rodgers,80718.8,7,361,2989.59
CUST0264,Holly Crawford,153554.47,11,279,4516.31
CUST0265,Steven Thomas,118631.83,9,509,4942.99
CUST0266,Anita Grimes,209445.7,14,731,4986.8
CUST0267,Lindsey Schneider,76689.91,5,169,4260.55
CUST0268,Carl Bradshaw,132181.32,7,536,5287.25
CUST0269,Jennifer Hernandez,187967.59,13,175,4819.68
CUST0270,Stacey Hernandez,123639.78,8,76,4945.59
CUST0271,Dana Mcdonald,90386.99,6,39,5649.19
CUST0272,Michele Day,161062.15,9,656,5195.55
CUST0273,Gina Green,82601.42,6,370,4858.91
CUST0274,Joseph Miller,99453.01,9,105,3107.91
CUST0275,Susan Shaffer,160019.6,11,171,4571.99
CUST0276,Michael West,172646.98,10,160,5754.9
CUST0277,Alicia Schmidt,66412.77,7,701,5108.67
CUST0278,Brian Peters,136678.5,8,314,5467.14
CUST0279,Haley Smith,165854.85,9,185,5719.13
CUST0280,Pamela Bennett,149315.53,11,436,4816.63
CUST0281,Danielle Clark,138790.84,9,401,4785.89
CUST0282,Craig Maldonado,109015.25,9,467,5737.64
CUST0283,Robert James,227108.93,13,385,4937.15
CUST0284,Christopher Kennedy,305908.13,19,602,4634.97
CUST0285,Robert Ware,120514.03,10,403,4820.56
CUST0286,Howard Mclaughlin,57501.2,5,333,5227.38
CUST0287,Theresa Smith,202700.78,11,613,5334.23
CUST0288,Elizabeth Nolan,156965.11,12,225,4024.75
CUST0289,Robert Simmons,77640.34,5,552,5176.02
CUST0290,Donna Nelson,230240.17,16,677,4698.78
CUST0291,Mary Thomas,123433.94,10,199,4571.63
CUST0292,John Fletcher,185814.28,14,555,5161.51
CUST0293,James Fisher,99377.45,9,660,3975.1
CUST0294,Tina Garcia,110386.8,8,252,5809.83
CUST0295,Angela Potts,180056.49,12,180,5144.47
CUST0296,Destiny Patterson,155094.85,11,579,5169.83
CUST0297,Justin Brown,129127.91,10,119,4165.42
CUST0298,Jessica Gutierrez,122943.33,10,70,3512.67
CUST0299,Victor Williams,112882.71,9,508,4515.31
CUST0300,Patricia Jackson,113609.64,9,407,4544.39
CUST0301,Alexandra Mcintosh,9404.16,2,124,3134.72
CUST0302,Paul Garcia,210218.48,18,109,4379.55
CUST0303,Kelsey Mccullough,126538.17,10,38,4363.39
CUST0304,Rachel Myers,127920.57,11,649,3997.52
CUST0305,Kimberly Davis,120868.64,7,566,4476.62
CUST0306,Anthony Smith,89126.84,8,615,4456.34
CUST0307,Brady Robinson,168348.4,14,335,4430.22
CUST0308,Autumn Mason,67212.87,7,367,3953.7
CUST0309,Amy Young,153899.78,10,437,4274.99
CUST0310,Catherine Anderson,100696.87,6,5,4378.12
CUST0311,Lori Ortega,72827.94,6,86,4284.0
CUST0312,Richard Wiley,106680.19,9,11,4103.08
CUST0313,Dennis Harrison,81046.98,7,671,3859.38
CUST0314,Crystal Conner,158349.2,12,187,4657.33
CUST0315,Christine Chavez,51712.29,6,525,3693.74
CUST0316,Mackenzie Johnson,170157.54,13,498,4051.37
CUST0317,Christopher Hernandez,243632.87,15,667,5296.37
CUST0318,Andrea Leon,156029.69,9,352,5033.22
CUST0319,Christopher Case,167198.31,11,635,4917.6
CUST0320,Carrie Sims,146237.43,11,387,5222.77
CUST0321,Adriana Richards,239544.03,16,225,4696.94
CUST0322,Ronald Fox,158134.7,12,508,4273.91
CUST0323,Jennifer Roberts,135436.22,12,197,3762.12
CUST0324,Johnny Nunez,134727.65,6,653,6123.98
CUST0325,Jennifer Young,100792.75,8,718,4581.49
CUST0326,Cynthia Haas,168437.81,10,327,4954.05
CUST0327,Troy Castillo,156440.07,12,228,4469.72
CUST0328,Tiffany Rice,170257.49,13,6,4480.46
CUST0329,Jessica Cook,194653.65,11,649,5898.6
CUST0330,Kara Hill,158651.45,12,386,4287.88
CUST0331,Jamie Estrada,162615.64,12,430,5081.74
CUST0332,Brittney Gutierrez,128584.18,9,711,4592.29
CUST0333,Sarah Bennett,120931.61,9,618,5038.82
CUST0334,Melissa Cabrera,101030.42,6,292,4810.97
CUST0335,Allison Barber,127522.24,9,543,3985.07
CUST0336,Christina Paul,82805.95,7,352,4140.3
CUST0337,Stephen Gordon,89873.75,4,326,6419.55
CUST0338,Lindsay Smith,135973.88,10,192,4249.18
CUST0339,Mark Jones,94315.15,8,367,3772.61
CUST0340,Gabrielle Diaz,147391.35,14,549,4211.18
CUST0341,Jennifer Powell,163673.22,9,686,5279.78
CUST0342,Maria Harris,150032.05,14,552,3846.98
CUST0343,Jerry Lee,188109.83,13,142,4950.26
CUST0344,John Lee,165894.93,11,27,4483.65
CUST0345,Samuel Williams,168425.17,13,716,3916.86
CUST0346,Lee Lewis,177808.23,11,158,4805.63
CUST0347,Paige King,71014.91,9,681,2958.95
CUST0348,Reginald Washington,51700.56,7,180,3692.9
CUST0349,Robert Ramirez,283554.22,19,90,4888.87
CUST0350,Anthony Sullivan,105185.69,8,453,5259.28
CUST0351,Jason Cobb,180746.55,9,152,5316.08
CUST0352,Austin Henry,108610.33,8,553,4344.41
CUST0353,Garrett Bass,96389.91,10,674,3570.0
CUST0354,Kevin Ryan,97717.65,8,188,5143.03
CUST0355,Shannon Jenkins,181418.11,12,506,4903.19
CUST0356,Lisa Anderson,178262.85,13,646,4145.65
CUST0357,Kendra Wade,95510.24,7,632,4548.11
CUST0358,Adam Ramirez,71171.07,6,665,3745.85
CUST0359,Anita Thomas,141629.54,11,298,3727.09
CUST0360,Michael Herrera,141574.55,11,126,3826.34
CUST0361,Edward Hamilton,178736.16,11,612,5416.25
CUST0362,Tara Madden,139791.91,6,589,5376.61
CUST0363,Timothy Williamson,237318.61,16,110,4944.14
CUST0364,Kim Bowen,159977.64,6,253,6399.11
CUST0365,Ian Chapman,116990.48,9,300,4332.98
CUST0366,Kristina Jones,58833.19,5,721,3677.07
CUST0367,Jason Lynch,135422.35,13,475,4103.71
CUST0368,Meghan Daniels,144084.72,12,699,4116.71
CUST0369,Felicia Robinson,84111.6,6,252,3823.25
CUST0370,Paige Bonilla,144382.71,13,184,3702.12
CUST0371,Tanya West,164804.43,15,581,4019.62
CUST0372,Richard Watts,276462.88,13,32,5119.68
CUST0373,Shaun Rodgers,143085.1,9,503,5299.45
CUST0374,Anthony Garcia,82723.52,7,105,5170.22
CUST0375,David Hall,198869.37,13,291,5374.85
CUST0376,Brooke Ford,108685.41,9,178,3505.98
CUST0377,Shannon Cook,116093.18,8,21,4003.21
CUST0378,John Campbell,161344.2,13,674,4889.22
CUST0379,Michael Phillips,127823.69,7,622,4916.3
CUST0380,Kimberly Mueller,127256.59,11,116,4544.88
CUST0381,Erin Moore,182457.07,12,563,4561.43
CUST0382,Stephanie Johnson,253872.53,17,142,4615.86
CUST0383,Hunter Swanson,220814.97,13,330,4907.0
CUST0384,Brandi Harper,143795.29,11,78,4357.43
CUST0385,Randy Torres,87473.8,6,588,4373.69
CUST0386,Donald Gardner,136477.68,9,430,4874.2
CUST0387,Tammy Moore,152366.67,10,618,5441.67
CUST0388,Tracy Gonzalez,88130.25,10,358,3264.08
CUST0389,Vincent Price,124041.54,12,462,3876.3
CUST0390,Christopher Wall,211415.56,14,501,5033.7
CUST0391,Ronald Price,165454.17,10,194,5337.23
CUST0392,Jacob Wiggins,45927.5,4,280,5740.94
CUST0393,Daniel Roth,120282.38,9,679,4454.9
CUST0394,Michael Chavez,98660.2,9,37,3523.58
CUST0395,Jonathan Kennedy,137528.21,9,128,4911.72
CUST0396,Luis White,137142.83,12,432,4897.96
CUST0397,Emma Hebert,147529.53,14,639,3782.81
CUST0398,Amanda Fleming,132763.56,12,626,4917.17
CUST0399,Matthew Scott,132066.9,9,258,4554.03
CUST0400,Tiffany Adams,115958.24,7,384,4294.75
CUST0401,Kara Brown,81667.69,8,204,4803.98
CUST0402,Danny Moore,62300.31,4,476,4450.02
CUST0403,Erin Vazquez,30048.15,3,578,5008.03
CUST0404,Diana Knight,167814.96,11,97,5085.3
CUST0405,Deborah Brock,78053.86,9,264,3716.85
CUST0406,Katrina Acosta,66862.56,8,325,3519.08
CUST0407,Julie Sparks,140123.24,10,314,4121.27
CUST0408,Darren Valdez,120301.83,9,490,5728.66
CUST0409,Brenda Bryant,140133.55,9,401,4003.82
CUST0410,Jasmine Conner,102921.5,7,129,5146.08
CUST0411,Alexander Barry,133346.3,10,243,4762.37
CUST0412,Mark Vaughn,108278.99,8,234,4511.62
CUST0413,Erica Wright,82070.28,7,16,4559.46
CUST0414,William Johnson,199843.44,19,39,4078.44
CUST0415,David Campbell,209169.75,16,159,5229.24
CUST0416,Rachel Thomas,207994.57,10,48,5777.63
CUST0417,James Phillips,74280.27,7,367,3909.49
CUST0418,Michael White,116685.95,8,123,4023.65
CUST0419,Shawn Dennis,150593.42,10,617,5577.53
CUST0420,Thomas Holt,133173.29,9,126,4592.18
CUST0421,Sarah Bell,92059.02,6,705,5415.24
CUST0422,April Stevens,123743.06,14,665,3535.52
CUST0423,Joyce Grant,161547.89,12,530,4366.16
CUST0424,Matthew Garner,123823.77,6,503,5159.32
CUST0425,Emily Peters,172233.55,12,444,5382.3
CUST0426,Dawn Rios,217830.44,15,150,4950.69
CUST0427,Brandi Newman,99851.96,8,187,4992.6
CUST0428,Ashley Roberts,184774.97,12,42,4506.71
CUST0429,Nicole Jensen,117356.31,8,477,4889.85
CUST0430,Alison Kelly,199238.29,12,14,5108.67
CUST0431,Paul Blackburn,210348.1,14,698,4572.78
CUST0432,John Krause,86422.29,6,285,4548.54
CUST0433,Phillip Ford,116852.45,9,152,4173.3
CUST0434,Penny Patterson,116494.05,9,504,5064.96
CUST0435,Jessica Nielsen,96266.91,6,351,5066.68
CUST0436,Diana Ward,180683.18,13,48,4517.08
CUST0437,Robert Brown,114890.57,6,277,5744.53
CUST0438,Ryan Nielsen,127563.9,9,79,5102.56
CUST0439,Patricia Peterson,102300.73,7,415,4650.03
CUST0440,Anthony Bishop,179862.24,11,197,4733.22
CUST0441,Courtney Massey,165172.42,15,496,3670.5
CUST0442,Thomas Robinson,191750.59,11,465,5810.62
CUST0443,Jerry Moore,121200.76,10,211,4328.6
CUST0444,Shannon Payne,41796.07,6,600,4179.61
CUST0445,Christopher Austin,162444.12,14,258,4061.1
CUST0446,Christopher Schwartz,105473.8,10,139,4056.68
CUST0447,Jennifer Hill,124403.62,10,317,4013.02
CUST0448,Angie Moore,123657.51,9,413,4579.91
CUST0449,Douglas Yu,132935.62,11,220,4288.25
CUST0450,Jamie Harris,169364.84,14,394,4342.69
CUST0451,Amanda Perez,121971.14,9,107,4517.45
CUST0452,Rachel Crosby,145372.6,11,188,5012.85
CUST0453,Frank Bell,113783.05,12,349,3923.55
CUST0454,Sara Johnson,112897.88,8,239,4515.92
CUST0455,Katie Pacheco,154557.53,12,205,4415.93
CUST0456,Richard Griffin,111207.63,8,451,4633.65
CUST0457,Lauren Johnson,108199.59,6,252,4508.32
CUST0458,Tyrone Jones,105609.97,8,67,4224.4
CUST0459,Frank Navarro,131755.45,8,360,4250.18
CUST0460,Michael Hoover,93578.92,9,85,4253.59
CUST0461,Amanda Gonzales,94581.85,5,670,4503.9
CUST0462,Barbara Griffith,136080.56,11,691,4536.02
CUST0463,Annette Garcia,93219.6,8,573,4053.03
CUST0464,Adam Levy,131161.67,8,75,4857.84
CUST0465,Kenneth Wilson,101764.99,10,517,4240.21
CUST0466,Laura Lutz,136953.24,12,65,4891.19
CUST0467,Bryan Maldonado,138719.41,10,570,4954.26
CUST0468,Alison Perry,156608.05,13,44,4606.12
CUST0469,Benjamin Castillo,83108.6,7,650,4617.14
CUST0470,Paul Pham,140555.21,12,46,4259.25
CUST0471,Emily Young,178214.88,13,679,4816.62
CUST0472,Susan Adams,210492.84,12,512,5011.73
CUST0473,Alexandra White,84697.63,7,716,4033.22
CUST0474,Monica Jackson,118556.39,10,179,5154.63
CUST0475,April Castillo,120255.63,12,349,3757.99
CUST0476,Samuel Campbell,187597.19,12,52,4810.18
CUST0477,Ashley Koch,141952.74,9,332,4894.92
CUST0478,April Leblanc,96722.48,4,25,5373.47
CUST0479,Thomas Kelly,178693.95,11,212,5105.54
CUST0480,Lindsey Shelton,140317.27,12,688,4252.04
CUST0481,Sherri Flores,85872.84,7,234,3733.6
CUST0482,Briana Thomas,104496.89,8,393,4543.34
CUST0483,William Robertson,216085.54,18,83,4321.71
CUST0484,Miranda Morgan,96148.06,8,132,3561.04
CUST0485,Nicholas Alvarado,129232.87,10,196,3800.97
CUST0486,John Norton,97975.65,7,349,4898.78
CUST0487,Jessica Ferrell,50944.83,5,661,4245.4
CUST0488,Victoria Munoz,135976.07,14,550,4249.25
CUST0489,Chris Parks,146828.35,12,5,4449.34
CUST0490,Christian Johnson,106850.08,8,543,3561.67
CUST0491,Donna Jones,105065.45,9,432,4040.98
